question_tl,question_en,answer
Kumakain ka ba ng tinapay?,Do you eat bread?,
ako,I,
lalaki,man,
babae,woman,
batang lalaki,boy,
batang babae,girl,
Batang lalaki siya.,He is a boy.,
Isang lalaki,A man,
Isang babae,A woman,
Ang lalaki,The man,
Babae ako.,I am a woman.,
Ang batang lalaki,The boy,
Ang batang babae,The girl,
Ang tubig,The water,
Kumakain siya ng mansanas.,He eats apples.,
Kumakain si Juan ng mansanas.,Juan eats apples.,
Lalaki ako.,I am a man.,
Umiinom ako ng tubig.,I drink water.,